bookId,categoryId             
401,8                         
402,8                         
403,8                         
404,8                         
405,8                         
406,8                         
407,9                         
408,9                         
409,9                         
410,9                         
411,9                         
412,9                         
413,9                         
414,9                         
415,9                         
416,9                         
417,9                         
418,9                         
419,9                         
420,9                         
421,9                         
422,9                         
423,9                         
424,9                         
425,9                         
426,9                         
427,9                         
428,9                         
429,9                         
430,9                         
431,9                         
432,9                         
433,9                         
434,9                         
435,9                         
436,9                         
437,9                         
438,9                         
439,9                         
440,9                         
441,9                         
442,9                         
443,9                         
444,9                         
445,9                         
446,9                         
447,9                         
448,9                         
449,9                         
450,9                         
451,9                         
452,9                         
453,9                         
454,9                         
455,9                         
456,9                         
457,10                        
458,10                        
459,10                        
460,10                        
461,10                        
462,10                        
463,10                        
464,10                        
465,10                        
466,10                        
467,10                        
468,10                        
469,10                        
470,10                        
471,10                        
472,10                        
473,10                        
474,10                        
475,10                        
476,10                        
477,10                        
478,10                        
479,10                        
480,10                        
481,10                        
482,10                        
483,10                        
484,10                        
485,10                        
486,10                        
487,10                        
488,10                        
489,10                        
490,10                        
491,10                        
492,10                        
493,10                        
494,10                        
495,10                        
496,10                        
497,10                        
498,10                        
499,10                        
500,10                        
501,10                        
502,10                        
503,10                        
504,10                        
505,10                        
506,10                        
507,11                        
508,11                        
509,11                        
510,11                        
511,11                        
512,11                        
513,11                        
514,11                        
515,11                        
516,11                        
517,11                        
518,11                        
519,11                        
520,11                        
521,11                        
522,11                        
523,11                        
524,11                        
525,11                        
526,11                        
527,11                        
528,11                        
529,11                        
530,11                        
531,11                        
532,11                        
533,11                        
534,11                        
535,11                        
536,11                        
537,11                        
538,11                        
539,11                        
540,11                        
541,11                        
542,11                        
543,11                        
544,11                        
545,11                        
546,11                        
547,11                        
548,11                        
549,11                        
550,11                        
551,11                        
552,11                        
553,11                        
554,11                        
555,11                        
556,11                        
557,12                        
558,12                        
559,12                        
560,12                        
561,12                        
562,12                        
563,12                        
564,12                        
565,12                        
566,12                        
567,12                        
568,12                        
569,12                        
570,12                        
571,12                        
572,12                        
573,12                        
574,12                        
575,12                        
576,12                        
577,12                        
578,12                        
579,12                        
580,12                        
581,12                        
582,12                        
583,12                        
584,12                        
585,12                        
586,12                        
587,12                        
588,12                        
589,12                        
590,12                        
591,12                        
592,12                        
593,12                        
594,12                        
595,12                        
596,12                        
597,12                        
598,12                        
599,12                        
600,12                        
601,12                        
602,12                        
603,12                        
604,12                        
605,12                        
606,12                        
